title,release_year,genres,imdb_score
Five Came Back: The Reference Films,1945,['documentation'],
Taxi Driver,1976,"['crime', 'drama']",8.3
Monty Python and the Holy Grail,1975,"['comedy', 'fantasy']",8.2
Life of Brian,1979,['comedy'],8.0
The Exorcist,1973,['horror'],8.1
Monty Python's Flying Circus,1969,"['comedy', 'european']",8.8
Dirty Harry,1971,"['thriller', 'crime', 'action']",7.7
My Fair Lady,1964,"['drama', 'music', 'romance', 'family']",7.8
The Blue Lagoon,1980,"['romance', 'drama']",5.8
Bonnie and Clyde,1967,"['drama', 'crime', 'action']",7.7
The Professionals,1966,"['western', 'action', 'european']",7.3
The Guns of Navarone,1961,"['war', 'action', 'drama']",7.5
Lupin the Third: The Castle of Cagliostro,1979,"['comedy', 'animation', 'action', 'fantasy', 'family']",7.6
Richard Pryor: Live in Concert,1979,"['comedy', 'documentation']",8.1
The Long Riders,1980,"['western', 'crime']",6.9
White Christmas,1954,"['romance', 'comedy', 'music']",7.5
Cairo Station,1958,"['drama', 'crime', 'comedy']",7.5
The Queen,1968,['documentation'],7.2
Hitler: A Career,1977,"['documentation', 'history', 'european']",7.5
FTA,1972,"['comedy', 'documentation', 'music']",6.2
Saladin the Victorious,1963,"['drama', 'war', 'action', 'history', 'romance']",7.6
Singapore,1960,"['drama', 'thriller', 'crime']",6.4
Dark Waters,1956,"['drama', 'action', 'romance', 'thriller']",6.7
Alexandria… Why?,1979,['drama'],7.2
Raya and Sakina,1953,"['drama', 'thriller', 'crime', 'history']",6.8
No Longer Kids,1979,"['comedy', 'drama']",9.0
Amrapali,1966,['fantasy'],6.7
Dostana,1980,"['drama', 'comedy', 'romance', 'action', 'crime']",2.1
The Blazing Sun,1954,"['romance', 'crime', 'drama']",7.4
Monty Python's Fliegender Zirkus,1972,['comedy'],8.1
The Return of the Prodigal Son,1976,"['drama', 'crime']",7.2
Prince,1969,['romance'],6.9
Lock Your Girls In,1980,['comedy'],
The Witness Who Didn't See Anything,1976,['comedy'],
The School of Mischief,1973,['comedy'],
Manoranjan,1974,"['comedy', 'drama', 'romance']",6.5
"Beirut, Oh Beirut",1975,['drama'],6.5
We Are All for the Fatherland,1979,['documentation'],6.2
Whispers,1980,['documentation'],7.8
Lal Patthar,1971,['drama'],6.2
Ujala,1959,"['romance', 'crime', 'drama']",6.7
Alibaba Aur 40 Chor,1979,"['drama', 'action', 'romance', 'family', 'fantasy']",6.2
Professor,1962,"['romance', 'comedy', 'drama']",6.8
Chadi Jawani Budhe Nu,1976,['romance'],4.6
Bandie,1978,"['drama', 'romance', 'action']",4.2
Khoon Khoon,1973,"['drama', 'crime', 'thriller']",5.1
Top Gun,1986,"['drama', 'action']",6.9
Seinfeld,1989,['comedy'],8.9
Stand by Me,1986,['drama'],8.1
Once Upon a Time in America,1984,"['drama', 'crime', 'european']",8.3
When Harry Met Sally...,1989,"['romance', 'comedy', 'drama']",7.7
Teenage Mutant Ninja Turtles,1990,"['scifi', 'action', 'comedy', 'family']",6.7
Full Metal Jacket,1987,"['drama', 'war']",8.3
Christine,1983,"['horror', 'thriller', 'european']",6.7
A Nightmare on Elm Street,1984,['horror'],7.4
Knight Rider,1982,"['action', 'scifi', 'crime', 'drama']",6.9
Awakenings,1990,"['drama', 'european']",7.8
Thomas & Friends,1984,"['family', 'comedy', 'music', 'action', 'animation', 'fantasy', 'drama']",6.5
Annie,1982,"['drama', 'family', 'comedy']",6.6
Pet Sematary,1989,"['horror', 'fantasy', 'thriller']",6.5
Saved by the Bell,1989,"['comedy', 'romance', 'family']",7.1
She's Gotta Have It,1986,"['comedy', 'romance']",6.7
Eddie Murphy Raw,1987,"['comedy', 'documentation']",7.6
Endless Love,1981,"['drama', 'romance']",4.9
Wheel of Fortune,1983,['family'],6.7
Major Dad,1989,"['comedy', 'family']",6.4
Fireman Sam,1987,"['comedy', 'animation', 'family', 'crime', 'european']",6.1
Danger Mouse,1981,"['comedy', 'family', 'scifi', 'animation', 'european']",7.4
Mobile Suit Gundam II: Soldiers of Sorrow,1981,"['scifi', 'drama', 'war', 'animation', 'action']",7.2
Mobile Suit Gundam: Char's Counterattack,1988,"['scifi', 'animation', 'action', 'drama', 'war']",7.3
Sam Kinison: Breaking the Rules,1987,"['comedy', 'documentation']",7.2
Tim Allen: Men Are Pigs,1990,"['comedy', 'documentation']",6.0
Monty Python Live at the Hollywood Bowl,1982,"['comedy', 'documentation']",7.9
The George McKenna Story,1988,['drama'],6.0
Unspeakable Acts,1990,['drama'],6.0
Waiting for the Hearse,1985,['comedy'],8.0
Mobile Suit Gundam III: Encounters in Space,1982,"['animation', 'action', 'drama', 'scifi', 'war']",7.7
Agneepath,1990,"['action', 'crime', 'drama']",7.6
Parrot Sketch Not Included: Twenty Years of Monty Python,1989,['comedy'],8.1
Too Young The Hero,1988,"['drama', 'war']",6.7
Adam: His Song Continues,1986,"['crime', 'drama']",7.0
Disco Dancer,1982,"['drama', 'romance']",6.5
The Ryan White Story,1989,['drama'],7.2
In Defense of a Married Man,1990,"['drama', 'crime']",5.6
Dil,1990,"['romance', 'comedy', 'drama']",6.6
Bye Bye London,1982,"['comedy', 'drama']",8.7
Quiet Victory: The Charlie Wedemeyer Story,1988,['drama'],7.1
"Alexandria, Again and Forever",1989,['drama'],6.5
Strange Voices,1987,['drama'],6.3
Aakhri Adaalat,1988,"['action', 'crime', 'thriller']",5.1
A Stoning in Fulham County,1988,"['crime', 'drama', 'thriller']",5.8
The Married Couples,1981,['drama'],
Sayed The Servant,1985,['comedy'],
Muqaddar Ka Faisla,1987,"['comedy', 'drama', 'family', 'action']",4.8
Sohni Mahiwal,1984,"['romance', 'action', 'drama']",6.1
The Little Wars,1982,"['drama', 'war', 'european']",6.3
Bill Hicks: Sane Man,1989,['comedy'],
Duniya,1984,"['drama', 'action']",6.2
High Risk,1988,['comedy'],3.8
Pyar Ke Do Pal,1986,"['drama', 'action']",6.1
Jaal,1986,"['drama', 'thriller', 'action']",5.2
Mujrim,1989,"['drama', 'action', 'crime']",5.4
An Egyptian Story,1982,"['fantasy', 'drama']",7.3
Ek Jaan Hain Hum,1983,"['family', 'romance']",6.3
The Quick and the Dead,1995,"['western', 'thriller', 'action', 'romance']",6.5
Survivor,2000,['reality'],7.4
Stargate SG-1,1997,"['scifi', 'drama', 'action']",8.4
Pokémon,1997,"['scifi', 'action', 'comedy', 'fantasy', 'animation', 'family']",7.6
Forrest Gump,1994,"['drama', 'romance', 'comedy']",8.8
Happy Gilmore,1996,"['comedy', 'sport']",7.0
One Piece,1999,"['action', 'comedy', 'animation', 'drama', 'fantasy']",8.8
Saving Private Ryan,1998,"['drama', 'war']",8.6
Cowboy Bebop,1998,"['western', 'action', 'scifi', 'thriller', 'animation', 'comedy', 'drama']",8.9
Star Trek: Deep Space Nine,1993,"['scifi', 'action', 'drama']",8.1
The Challenge,1998,"['reality', 'comedy', 'drama', 'scifi']",7.8
Gattaca,1997,"['thriller', 'drama', 'scifi']",7.8
Gilmore Girls,2000,"['comedy', 'drama']",8.2
Blade,1998,"['action', 'scifi', 'horror']",7.1
You've Got Mail,1998,"['romance', 'drama', 'comedy']",6.7
Starship Troopers,1997,"['scifi', 'thriller', 'action']",7.3
Neon Genesis Evangelion,1995,"['scifi', 'action', 'drama', 'thriller', 'fantasy', 'animation']",8.5
The Magic School Bus,1994,"['scifi', 'comedy', 'family', 'fantasy', 'animation']",7.8
Donnie Brasco,1997,"['thriller', 'drama', 'crime']",7.7
Power Rangers,1993,"['scifi', 'action', 'fantasy', 'family']",6.5
U.S. Marshals,1998,"['thriller', 'crime', 'action']",6.5
Adventures of Sonic the Hedgehog,1993,"['action', 'animation', 'scifi', 'western', 'fantasy', 'comedy', 'family']",6.2
Wild Things,1998,"['drama', 'thriller', 'crime', 'european']",6.6
Last Action Hero,1993,"['comedy', 'action', 'fantasy']",6.4
Seven Years in Tibet,1997,"['drama', 'history', 'war']",7.1
The Devil's Advocate,1997,"['horror', 'thriller', 'drama']",7.5
A River Runs Through It,1992,['drama'],7.2
"Girl, Interrupted",1999,"['drama', 'european']",7.3
Goosebumps,1995,"['scifi', 'fantasy', 'horror', 'thriller', 'family', 'music']",7.6
Yu-Gi-Oh!,1998,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",7.2
InuYasha,2000,"['action', 'comedy', 'scifi', 'animation', 'drama', 'fantasy', 'romance']",7.9
Any Given Sunday,1999,"['drama', 'sport']",6.9
Menace II Society,1993,"['drama', 'crime', 'thriller']",7.5
Desperado,1995,"['thriller', 'action', 'crime', 'western', 'european']",7.1
The Mask of Zorro,1998,"['action', 'thriller', 'western', 'comedy', 'romance']",6.8
The Patriot,2000,"['drama', 'action', 'history', 'war']",7.2
Road Trip,2000,['comedy'],6.5
Free Willy,1993,"['drama', 'family']",6.0
My First Errand,1991,['reality'],
3 Ninjas Kick Back,1994,"['action', 'comedy', 'family', 'sport']",4.5
In the Line of Fire,1993,"['drama', 'thriller', 'action', 'crime']",7.2
The Replacements,2000,"['comedy', 'sport']",6.6
Johnny Mnemonic,1995,"['scifi', 'thriller', 'action', 'drama']",5.6
Little Women,1994,"['drama', 'family', 'romance']",7.3
Anaconda,1997,"['thriller', 'horror', 'action']",4.8
My Girl,1991,"['comedy', 'drama', 'family', 'romance', 'european']",6.9
Cliffhanger,1993,"['thriller', 'action', 'animation']",6.5
I Know What You Did Last Summer,1997,"['horror', 'thriller']",5.7
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,"['scifi', 'action', 'comedy', 'family']",6.0
Barney & Friends,1992,['family'],3.8
Hollow Man,2000,"['scifi', 'action', 'horror', 'thriller']",5.8
Godzilla,1998,"['thriller', 'scifi', 'action']",5.4
Neon Genesis Evangelion: The End of Evangelion,1997,"['scifi', 'action', 'drama', 'fantasy', 'animation']",8.0
Spawn,1997,"['fantasy', 'horror', 'scifi', 'thriller', 'action', 'drama']",5.2
Dennis the Menace,1993,"['comedy', 'family']",5.6
The Net,1995,"['thriller', 'action', 'crime', 'drama']",5.9
The Devil's Own,1997,"['thriller', 'drama', 'action', 'crime', 'european']",6.2
Croupier,1998,"['thriller', 'european', 'crime', 'drama']",7.0
Teenage Mutant Ninja Turtles III,1993,"['fantasy', 'scifi', 'action', 'comedy', 'family']",4.7
The General's Daughter,1999,"['drama', 'crime', 'thriller']",6.4
